f,S_real,S_ER,S_configuracion
0.0,1.0,1.0,1.0
0.005649717514124294,0.9860451977401131,0.8654237288135593,0.7827118644067796
0.011299435028248588,0.9745762711864409,0.8589830508474577,0.7723163841807908
0.01694915254237288,0.9608474576271187,0.8507344632768361,0.7645197740112993
0.022598870056497175,0.9454237288135593,0.8430508474576272,0.755141242937853
0.02824858757062147,0.928135593220339,0.8367231638418079,0.747231638418079
0.03389830508474576,0.910960451977401,0.8294915254237287,0.740225988700565
0.03954802259887006,0.9002824858757063,0.8222598870056497,0.7363841807909605
0.04519774011299435,0.8884745762711864,0.8151412429378531,0.7310734463276836
0.05084745762711865,0.8789830508474575,0.8080225988700565,0.7241807909604521
0.05649717514124294,0.8632203389830511,0.8014689265536723,0.7160451977401131
0.062146892655367235,0.8516384180790959,0.7915254237288135,0.7075706214689265
0.06779661016949153,0.8381920903954803,0.7847457627118644,0.6992090395480227
0.07344632768361582,0.8297740112994351,0.7762711864406779,0.6911864406779661
0.07909604519774012,0.817231638418079,0.7702824858757062,0.6827118644067798
0.0847457627118644,0.8063841807909605,0.7637288135593221,0.6757062146892656
0.0903954802259887,0.7932768361581921,0.7543502824858757,0.6672316384180792
0.096045197740113,0.783502824858757,0.744858757062147,0.6598870056497175
0.1016949152542373,0.7705084745762711,0.7380790960451978,0.6512994350282486
0.10734463276836158,0.7610734463276836,0.7309604519774011,0.6429378531073446
0.11299435028248588,0.7521468926553672,0.7224858757062147,0.6326553672316383
0.11864406779661017,0.7439548022598871,0.7145762711864407,0.6242937853107344
0.12429378531073447,0.7342372881355931,0.7072316384180791,0.6151412429378531
0.12994350282485875,0.7232768361581923,0.7013559322033899,0.6084745762711864
0.13559322033898305,0.7124293785310734,0.6931073446327685,0.6011299435028249
0.14124293785310735,0.7031073446327685,0.6853107344632768,0.5936723163841807
0.14689265536723164,0.6922598870056497,0.6788700564971751,0.584858757062147
0.15254237288135594,0.6837853107344632,0.6680225988700564,0.5755932203389831
0.15819209039548024,0.6759322033898306,0.6584180790960452,0.5701694915254237
0.1638418079096045,0.6627683615819209,0.6526553672316383,0.5645197740112994
0.1694915254237288,0.6509604519774012,0.6449717514124294,0.5568361581920904
0.1751412429378531,0.6420903954802258,0.6371751412429378,0.5499435028248587
0.1807909604519774,0.6316949152542373,0.6302824858757063,0.5420338983050847
0.1864406779661017,0.6209039548022599,0.6221468926553672,0.5333333333333333
0.192090395480226,0.6049717514124293,0.6153672316384181,0.5259887005649717
0.1977401129943503,0.5934463276836158,0.6090395480225989,0.5181920903954803
0.2033898305084746,0.5823728813559322,0.6036158192090395,0.5100564971751412
0.20903954802259886,0.5687570621468926,0.5959322033898306,0.49920903954802254
0.21468926553672316,0.5588700564971751,0.5859887005649718,0.4935593220338983
0.22033898305084745,0.5425423728813559,0.5783050847457627,0.48474576271186437
0.22598870056497175,0.5279096045197741,0.5672316384180791,0.4745762711864407
0.23163841807909605,0.5129378531073447,0.5594350282485876,0.4691525423728814
0.23728813559322035,0.502542372881356,0.552090395480226,0.46271186440677964
0.24293785310734464,0.49192090395480226,0.5453107344632768,0.45740112994350285
0.24858757062146894,0.48265536723163843,0.5377401129943503,0.45175141242937855
0.2542372881355932,0.4748022598870057,0.5266666666666666,0.44802259887005647
0.2598870056497175,0.46293785310734464,0.5175141242937853,0.44237288135593217
