f,S_aleatorio_media,S_ataque_puentes_primero
0.0,1.0,1.0
0.004784688995215311,0.9907909604519775,0.9887005649717514
0.009569377990430622,0.9819209039548022,0.9830508474576272
0.014354066985645933,0.9772316384180791,0.9774011299435028
0.019138755980861243,0.9712994350282487,0.9661016949152542
0.023923444976076555,0.9653107344632769,0.9548022598870056
0.028708133971291867,0.9594915254237288,0.9378531073446328
0.03349282296650718,0.9547457627118646,0.9265536723163842
0.03827751196172249,0.9463841807909604,0.9152542372881356
0.0430622009569378,0.9362146892655369,0.9096045197740112
0.04784688995215311,0.931129943502825,0.903954802259887
0.05263157894736842,0.9259322033898306,0.8983050847457628
0.05741626794258373,0.9209604519774011,0.8926553672316384
0.06220095693779904,0.9159887005649717,0.8870056497175142
0.06698564593301436,0.9099435028248587,0.8813559322033898
0.07177033492822966,0.904406779661017,0.8757062146892656
0.07655502392344497,0.8976271186440679,0.807909604519774
0.08133971291866028,0.8892655367231639,0.8022598870056498
0.0861244019138756,0.8831073446327683,0.7966101694915254
0.09090909090909091,0.874915254237288,0.7909604519774012
0.09569377990430622,0.8664971751412429,0.7853107344632768
0.10047846889952153,0.8557062146892653,0.7457627118644068
0.10526315789473684,0.8490395480225987,0.7401129943502824
0.11004784688995216,0.8407344632768361,0.7344632768361582
0.11483253588516747,0.8324293785310733,0.7288135593220338
0.11961722488038277,0.827005649717514,0.7231638418079096
0.12440191387559808,0.8215819209039548,0.7175141242937854
0.1291866028708134,0.8160451977401131,0.7175141242937854
0.1339712918660287,0.8094915254237288,0.7005649717514124
0.13875598086124402,0.8040677966101697,0.6949152542372882
0.14354066985645933,0.7987005649717515,0.6892655367231638
0.14832535885167464,0.7913559322033897,0.6892655367231638
0.15311004784688995,0.7838983050847458,0.6836158192090396
0.15789473684210525,0.7764971751412431,0.6666666666666666
0.16267942583732056,0.769774011299435,0.6666666666666666
0.1674641148325359,0.7623728813559323,0.655367231638418
0.1722488038277512,0.7539548022598871,0.6497175141242938
0.17703349282296652,0.7482485875706216,0.6440677966101694
0.18181818181818182,0.7442372881355932,0.6440677966101694
0.18660287081339713,0.7397740112994352,0.6440677966101694
0.19138755980861244,0.7345197740112994,0.6384180790960452
0.19617224880382775,0.73,0.632768361581921
0.20095693779904306,0.7236158192090394,0.6271186440677966
0.20574162679425836,0.7148022598870055,0.6214689265536724
0.21052631578947367,0.7059887005649718,0.6214689265536724
0.215311004784689,0.6994350282485875,0.615819209039548
0.22009569377990432,0.6929943502824858,0.6101694915254238
0.22488038277511962,0.6858192090395481,0.6045197740112994
0.22966507177033493,0.6772881355932203,0.6045197740112994
0.23444976076555024,0.6637288135593221,0.5932203389830508
0.23923444976076555,0.6571186440677966,0.5932203389830508
0.24401913875598086,0.6526553672316385,0.5819209039548022
0.24880382775119617,0.6453107344632768,0.576271186440678
0.2535885167464115,0.64,0.5649717514124294
0.2583732057416268,0.6347457627118644,0.559322033898305
0.2631578947368421,0.6298870056497176,0.5536723163841808
0.2679425837320574,0.6221468926553673,0.5536723163841808
0.2727272727272727,0.6162146892655366,0.5480225988700564
0.27751196172248804,0.6090960451977401,0.5423728813559322
0.2822966507177033,0.6050282485875705,0.536723163841808
0.28708133971291866,0.5971751412429378,0.536723163841808
0.291866028708134,0.5884745762711864,0.5310734463276836
0.2966507177033493,0.5822033898305085,0.5254237288135594
0.3014354066985646,0.5741807909604519,0.519774011299435
0.3062200956937799,0.5675706214689265,0.5141242937853108
0.31100478468899523,0.5617514124293784,0.5141242937853108
0.3157894736842105,0.5543502824858757,0.5084745762711864
0.32057416267942584,0.5464971751412429,0.4971751412429379
0.3253588516746411,0.5402259887005649,0.4971751412429379
0.33014354066985646,0.5316949152542374,0.4915254237288136
0.3349282296650718,0.5258757062146894,0.4915254237288136
0.3397129186602871,0.5205084745762713,0.4915254237288136
0.3444976076555024,0.5153672316384181,0.4745762711864407
0.3492822966507177,0.5056497175141244,0.4689265536723164
0.35406698564593303,0.4989265536723164,0.4632768361581921
0.3588516746411483,0.4932768361581922,0.4519774011299435
0.36363636363636365,0.48514124293785316,0.4519774011299435
0.3684210526315789,0.47943502824858764,0.4463276836158192
0.37320574162679426,0.47169491525423735,0.4406779661016949
0.37799043062200954,0.466045197740113,0.4406779661016949
0.3827751196172249,0.4583615819209039,0.4350282485875706
0.3875598086124402,0.45355932203389826,0.4293785310734463
0.3923444976076555,0.4493785310734463,0.4293785310734463
0.39712918660287083,0.44242937853107345,0.4293785310734463
0.4019138755980861,0.4366101694915254,0.4293785310734463
0.40669856459330145,0.42723163841807915,0.423728813559322
0.41148325358851673,0.417909604519774,0.4180790960451977
0.41626794258373206,0.41259887005649715,0.4180790960451977
0.42105263157894735,0.4052542372881356,0.4124293785310734
0.4258373205741627,0.4000564971751412,0.4124293785310734
0.430622009569378,0.3957062146892655,0.4067796610169492
0.4354066985645933,0.38841807909604514,0.4011299435028249
0.44019138755980863,0.38350282485875703,0.3954802259887006
0.4449760765550239,0.37661016949152537,0.3898305084745763
0.44976076555023925,0.3675706214689265,0.3898305084745763
0.45454545454545453,0.36005649717514115,0.384180790960452
0.45933014354066987,0.35440677966101697,0.384180790960452
0.46411483253588515,0.34830508474576277,0.3785310734463277
0.4688995215311005,0.3449152542372882,0.3728813559322034
0.47368421052631576,0.33830508474576276,0.3728813559322034
0.4784688995215311,0.33237288135593224,0.3728813559322034
0.48325358851674644,0.3263276836158193,0.3672316384180791
0.4880382775119617,0.3227683615819209,0.3615819209039548
0.49282296650717705,0.31745762711864406,0.3559322033898305
0.49760765550239233,0.3124858757062146,0.3502824858757062
0.5023923444976076,0.3070056497175141,0.3446327683615819
0.507177033492823,0.30282485875706217,0.3389830508474576
0.5119617224880383,0.29768361581920905,0.3333333333333333
0.5167464114832536,0.29129943502824857,0.327683615819209
0.5215311004784688,0.28576271186440677,0.3220338983050847
0.5263157894736842,0.28084745762711866,0.3220338983050847
0.5311004784688995,0.2754237288135593,0.3163841807909605
0.5358851674641149,0.2703389830508474,0.3163841807909605
0.5406698564593302,0.2654237288135593,0.3107344632768362
0.5454545454545454,0.2588135593220338,0.3107344632768362
0.5502392344497608,0.2549717514124294,0.3107344632768362
0.5550239234449761,0.2502824858757062,0.3107344632768362
0.5598086124401914,0.243954802259887,0.3107344632768362
0.5645933014354066,0.24011299435028247,0.3107344632768362
0.569377990430622,0.23604519774011298,0.3050847457627119
0.5741626794258373,0.23135593220338982,0.2994350282485876
0.5789473684210527,0.22418079096045196,0.2937853107344633
0.583732057416268,0.21909604519774015,0.2937853107344633
0.5885167464114832,0.21316384180790962,0.288135593220339
0.5933014354066986,0.21028248587570622,0.2824858757062147
0.5980861244019139,0.2057627118644068,0.2768361581920904
0.6028708133971292,0.20197740112994356,0.2711864406779661
0.6076555023923444,0.1963276836158193,0.24293785310734464
0.6124401913875598,0.19231638418079097,0.24293785310734464
0.6172248803827751,0.1887570621468927,0.23728813559322035
0.6220095693779905,0.1849717514124294,0.23728813559322035
0.6267942583732058,0.17960451977401132,0.23163841807909605
0.631578947368421,0.17271186440677969,0.22598870056497175
0.6363636363636364,0.16966101694915256,0.22033898305084745
0.6411483253588517,0.16553672316384183,0.21468926553672316
0.645933014354067,0.16152542372881357,0.21468926553672316
0.6507177033492823,0.15802259887005649,0.20903954802259886
0.6555023923444976,0.15231638418079096,0.20903954802259886
0.6602870813397129,0.1496045197740113,0.2033898305084746
0.6650717703349283,0.14451977401129945,0.2033898305084746
0.6698564593301436,0.1423728813559322,0.2033898305084746
0.6746411483253588,0.13740112994350284,0.2033898305084746
0.6794258373205742,0.13163841807909604,0.2033898305084746
0.6842105263157895,0.12706214689265535,0.2033898305084746
0.6889952153110048,0.12288135593220337,0.2033898305084746
0.69377990430622,0.11977401129943503,0.2033898305084746
0.6985645933014354,0.11700564971751412,0.2033898305084746
0.7033492822966507,0.11372881355932202,0.2033898305084746
0.7081339712918661,0.10983050847457626,0.2033898305084746
0.7129186602870813,0.10598870056497173,0.2033898305084746
0.7177033492822966,0.10435028248587569,0.2033898305084746
0.722488038277512,0.10022598870056497,0.2033898305084746
0.7272727272727273,0.09774011299435027,0.2033898305084746
0.7320574162679426,0.09491525423728814,0.2033898305084746
0.7368421052631579,0.09209039548022599,0.1977401129943503
0.7416267942583732,0.09022598870056495,0.192090395480226
0.7464114832535885,0.08672316384180791,0.192090395480226
0.7511961722488039,0.08310734463276835,0.192090395480226
0.7559808612440191,0.08101694915254237,0.192090395480226
0.7607655502392344,0.07892655367231641,0.192090395480226
0.7655502392344498,0.07581920903954803,0.192090395480226
0.7703349282296651,0.073954802259887,0.192090395480226
0.7751196172248804,0.07112994350282487,0.192090395480226
0.7799043062200957,0.0692090395480226,0.192090395480226
0.784688995215311,0.0671186440677966,0.192090395480226
0.7894736842105263,0.06587570621468926,0.1864406779661017
0.7942583732057417,0.06367231638418079,0.1807909604519774
0.7990430622009569,0.06186440677966101,0.1751412429378531
0.8038277511961722,0.05915254237288136,0.1694915254237288
0.8086124401913876,0.05796610169491525,0.1694915254237288
0.8133971291866029,0.056497175141242945,0.1694915254237288
0.8181818181818182,0.05514124293785311,0.1638418079096045
0.8229665071770335,0.05384180790960452,0.15819209039548024
0.8277511961722488,0.05242937853107344,0.15254237288135594
0.8325358851674641,0.05045197740112994,0.14689265536723164
0.8373205741626795,0.048474576271186454,0.14689265536723164
0.8421052631578947,0.0472316384180791,0.14689265536723164
0.84688995215311,0.04491525423728813,0.14689265536723164
0.8516746411483254,0.043220338983050846,0.14124293785310735
0.8564593301435407,0.04186440677966102,0.13559322033898305
0.861244019138756,0.04067796610169491,0.12994350282485875
0.8660287081339713,0.039717514124293786,0.12429378531073447
0.8708133971291866,0.03903954802259887,0.12429378531073447
0.8755980861244019,0.03790960451977401,0.12429378531073447
0.8803827751196173,0.03644067796610169,0.12429378531073447
0.8851674641148325,0.034463276836158185,0.11864406779661017
0.8899521531100478,0.03305084745762712,0.11299435028248588
0.8947368421052632,0.03192090395480225,0.10734463276836158
0.8995215311004785,0.030112994350282484,0.096045197740113
0.9043062200956937,0.028870056497175133,0.0847457627118644
0.9090909090909091,0.027966101694915254,0.07909604519774012
0.9138755980861244,0.02694915254237288,0.07909604519774012
0.9186602870813397,0.02559322033898305,0.07344632768361582
0.9234449760765551,0.024406779661016946,0.07344632768361582
0.9282296650717703,0.02355932203389831,0.07344632768361582
0.9330143540669856,0.022316384180790964,0.062146892655367235
0.937799043062201,0.021242937853107345,0.062146892655367235
0.9425837320574163,0.020338983050847456,0.062146892655367235
0.9473684210526315,0.01909604519774011,0.05084745762711865
0.9521531100478469,0.018192090395480223,0.04519774011299435
0.9569377990430622,0.017514124293785308,0.04519774011299435
0.9617224880382775,0.016045197740112992,0.022598870056497175
0.9665071770334929,0.014971751412429377,0.022598870056497175
0.9712918660287081,0.014124293785310731,0.022598870056497175
0.9760765550239234,0.013220338983050844,0.022598870056497175
0.9808612440191388,0.012485875706214684,0.022598870056497175
0.9856459330143541,0.011694915254237284,0.022598870056497175
0.9904306220095693,0.011299435028248586,0.011299435028248588
0.9952153110047847,0.011299435028248586,0.011299435028248588
1.0,0.005649717514124293,0.005649717514124294
