estrategia,tamaño_medio_brote,tamaño_std
sin inmunizar,0.4053389830508475,0.29747852632468436
aleatoria (11 nodos),0.3608474576271186,0.26326348739194455
por centralidad (11 nodos),0.09234463276836159,0.029667120287370022
