f,S_aleatorio_media,S_aleatorio_std,S_grado,S_intermediacion_estatica,S_intermediacion_recalculada
0.0,1.0,0.0,1.0,1.0,1.0
0.005649717514124294,0.9860451977401131,0.026819468163860178,0.9943502824858758,0.9943502824858758,0.9943502824858758
0.011299435028248588,0.9745762711864409,0.03620257077998777,0.6101694915254238,0.7570621468926554,0.6101694915254238
0.01694915254237288,0.9608474576271187,0.043036369859561024,0.5423728813559322,0.751412429378531,0.559322033898305
0.022598870056497175,0.9454237288135593,0.0506232573607329,0.480225988700565,0.7005649717514124,0.3220338983050847
0.02824858757062147,0.928135593220339,0.061019062740146034,0.480225988700565,0.6892655367231638,0.3163841807909605
0.03389830508474576,0.910960451977401,0.06930227104620913,0.4293785310734463,0.6836158192090396,0.11864406779661017
0.03954802259887006,0.9002824858757063,0.06928019220842843,0.4293785310734463,0.6779661016949152,0.06779661016949153
0.04519774011299435,0.8884745762711864,0.07134478638321697,0.423728813559322,0.2937853107344633,0.062146892655367235
0.05084745762711865,0.8789830508474575,0.070052170930072,0.3728813559322034,0.1977401129943503,0.05084745762711865
0.05649717514124294,0.8632203389830511,0.07885638437258281,0.3389830508474576,0.1977401129943503,0.05084745762711865
0.062146892655367235,0.8516384180790959,0.08043245333764204,0.3389830508474576,0.1977401129943503,0.05084745762711865
0.06779661016949153,0.8381920903954803,0.08384316460609255,0.15254237288135594,0.1977401129943503,0.05084745762711865
0.07344632768361582,0.8297740112994351,0.08294674013305427,0.05084745762711865,0.1977401129943503,0.05084745762711865
0.07909604519774012,0.817231638418079,0.08739002719828526,0.05084745762711865,0.13559322033898305,0.03954802259887006
0.0847457627118644,0.8063841807909605,0.08873181956349982,0.05084745762711865,0.13559322033898305,0.03954802259887006
0.0903954802259887,0.7932768361581921,0.08984486402026699,0.05084745762711865,0.13559322033898305,0.03389830508474576
0.096045197740113,0.783502824858757,0.08880092217710354,0.05084745762711865,0.13559322033898305,0.03389830508474576
0.1016949152542373,0.7705084745762711,0.0893290833590026,0.05084745762711865,0.04519774011299435,0.03389830508474576
