modelo,clustering_media,clustering_std,dist_media_media,dist_media_std,diametro_media,diametro_std,asortatividad_media,asortatividad_std
UCuenca (real),0.09518599562363239,0.0,5.830380071905496,0.0,11.0,0.0,-0.14682058462919656,0.0
"Erdős–Rényi G(n,m)",0.014741615670671194,0.008864459325432573,5.584376998058916,0.24667580452639742,13.24,1.4363252775852353,-0.011185195135462914,0.06938015817613842
Configuración (grados exactos),0.046916868647032796,0.012324934893515079,4.1568502463043755,0.137711456155655,9.31,0.9067090007941977,-0.029805591499441085,0.05983769531035146
