origen,destino,campus_origen,campus_destino,capa_origen,capa_destino
CC-FILOSOFIA-A-D108,POST-1A-A64,Campus Central,Campus Central,agregacion,acceso
CC-FILOSOFIA-B-D111,FILOB-1B-A58,Campus Central,Campus Central,agregacion,acceso
CC-FILOSOFIA-B-D111,FILOB-2A-A57,Campus Central,Campus Central,agregacion,acceso
CC-JURISPRUDENCIA-D110,JUR-0A-A59,Campus Central,Campus Central,agregacion,acceso
CC-JURISPRUDENCIA-D110,JUR-0A-A60,Campus Central,Campus Central,agregacion,acceso
CC-JURISPRUDENCIA-D110,JUR-1A-A61,Campus Central,Campus Central,agregacion,acceso
CC-JURISPRUDENCIA-D110,JUR-1A-A62,Campus Central,Campus Central,agregacion,acceso
CC-MONJAS-D126,ECOK3-0A-A63,Campus Central,Campus Central,agregacion,acceso
CC-MONJAS-D126,MON-0A-A103,Campus Central,Campus Central,agregacion,acceso
CC-MONJAS-D126,MON-0A-A104,Campus Central,Campus Central,agregacion,acceso
MON-1B-A67,MON-1B-A68,Campus Central,Campus Central,acceso,acceso
CC-MONJAS-D126,MON-1B-A67,Campus Central,Campus Central,agregacion,acceso
CC-MONJAS-D126,MON-1C-A105,Campus Central,Campus Central,agregacion,acceso
CC-MONJAS-D126,MON-1C-A106,Campus Central,Campus Central,agregacion,acceso
CC-PROMAS-D31,CREDU-0B-A94,Campus Central,Campus Central,agregacion,acceso
PRO-1A-A73,PRO-3A-A74,Campus Central,Campus Central,acceso,acceso
CC-PROMAS-D31,PRO-1A-A73,Campus Central,Campus Central,agregacion,acceso
CC-PSICOLOGIA-D125,PSIC-1A-A53,Campus Central,Campus Central,agregacion,acceso
CC-PSICOLOGIA-D125,PSIC-2B-A54,Campus Central,Campus Central,agregacion,acceso
CC-QUIMICA-D109,QUI-0A-A78,Campus Central,Campus Central,agregacion,acceso
CC-QUIMICA-D109,QUI-1A-A83,Campus Central,Campus Central,agregacion,acceso
QUI-2A-A82,QUI-2A-A81,Campus Central,Campus Central,acceso,acceso
CC-QUIMICA-D109,QUI-2A-A82,Campus Central,Campus Central,agregacion,acceso
BAL-AUL1-D4,AUL1-2A-A110,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL1-D4,AUL1-2A-A111,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL1-D4,AUL1-3A-A104,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL1-D4,AUL1-3A-A112,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-01A-A124-SUBLAB2,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-01A-A24-SUB,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-0A-A106,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-0A-A118,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-0A-A119,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-0A-A120,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-0A-A121,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-0A-A122,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,AUL2-0A-A123,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-AUL2-D1,MICRORED-1A-A109,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-CENTEC-D2,CEA-0A-A108,Campus Balzay,Campus Balzay,agregacion,acceso
