f,E_aleatorio,E_ataque_intermediacion
0.0,0.20821202245507547,0.20821202245507547
0.005649717514124294,0.2048719989349694,0.19762790425349255
0.011299435028248588,0.2029777028669445,0.13682354443621858
0.01694915254237288,0.2008610714600616,0.13487633321994083
0.022598870056497175,0.19869779217813938,0.12065955893960827
0.02824858757062147,0.1789888229458689,0.11684515888580176
0.03389830508474576,0.1789888229458689,0.1134336222115522
0.03954802259887006,0.17680921308617453,0.10257472404043932
0.04519774011299435,0.17464779360484026,0.0363639675610017
0.05084745762711865,0.16156414741738317,0.029715740944554744
0.05649717514124294,0.16156414741738317,0.02914648910411644
0.062146892655367235,0.15970625758279888,0.028397473524592366
0.06779661016949153,0.15788688854944605,0.02592572211216297
0.07344632768361582,0.1560771497164029,0.023919430381294987
0.07909604519774012,0.15401470729379194,0.017181500232347647
0.0847457627118644,0.14537254515586798,0.017181500232347647
0.0903954802259887,0.14370692813008143,0.015769070853816555
0.096045197740113,0.12450955691999842,0.014741849487612155
0.1016949152542373,0.12450955691999842,0.010636021229241562
0.10734463276836158,0.12034306164217855,0.00963020030816641
0.11299435028248588,0.12034306164217855,0.00963020030816641
0.11864406779661017,0.10815716181182482,0.008870484506077731
0.12429378531073447,0.10499338392732256,0.008255221708611546
0.12994350282485875,0.1029463294438272,0.007613208354733785
0.13559322033898305,0.09661271484749932,0.006971195000856022
0.14124293785310735,0.09501527352548185,0.0063291816469782615
0.14689265536723164,0.09501527352548185,0.005783470296182164
0.15254237288135594,0.09370676368942997,0.005237758945386067
0.15819209039548024,0.0922495971898908,0.00482045026536552
0.1638418079096045,0.09082453135804534,0.004371040917651086
0.1694915254237288,0.08931643689444228,0.0039216315699366535
0.1751412429378531,0.08782439276468605,0.0034722222222222216
0.1807909604519774,0.08573833342227143,0.003108414655024824
0.1864406779661017,0.08451346134320045,0.0028944102037322373
0.192090395480226,0.08308875218544044,0.00268040575243965
0.1977401129943503,0.08117761600523647,0.002466401301147064
0.2033898305084746,0.07997888535735329,0.002305897962677624
0.20903954802259886,0.07880608769476335,0.002145394624208184
0.21468926553672316,0.07880608769476335,0.0019848912857387438
0.22033898305084745,0.07732948245756452,0.0018243879472693036
0.22598870056497175,0.0761930122821879,0.0016638846087998634
0.23163841807909605,0.0761930122821879,0.0015033812703304232
0.23728813559322035,0.07486674517202255,0.0014070792672487588
0.24293785310734464,0.07486674517202255,0.0013107772641670948
0.24858757062146894,0.0735725787295512,0.001027221366204417
0.2542372881355932,0.05089847360167095,0.000963020030816641
0.2598870056497175,0.05024040991394624,0.0008988186954288649
0.2655367231638418,0.04940202199928716,0.0008346173600410888
0.2711864406779661,0.048889481338441364,0.0007704160246533128
0.2768361581920904,0.04728365817541479,0.0007062146892655367
0.2824858757062147,0.04679037791518535,0.0006420133538777606
0.288135593220339,0.04419391795643725,0.0005778120184899846
0.2937853107344633,0.043174314129630076,0.0005136106831022085
0.2994350282485876,0.042186810970516804,0.0004494093477144325
0.3050847457627119,0.03985523247368408,0.00038520801232665646
0.3107344632768362,0.03985523247368408,0.00032100667693888037
0.3163841807909605,0.0388677293145708,0.0002568053415511043
0.3220338983050847,0.038105847991248866,0.00019260400616332826
0.327683615819209,0.037158470666752964,0.0001284026707755522
0.3333333333333333,0.037158470666752964,6.420133538777611e-5
0.3389830508474576,0.03466317876468145,4.723546444842471e-20
0.3446327683615819,0.029478839869826398,4.6428020611699504e-20
0.3502824858757062,0.029478839869826398,4.5627537497704687e-20
0.3559322033898305,0.028396410450532535,4.4834015106440257e-20
0.3615819209039548,0.028396410450532535,4.4047453437906215e-20
0.3672316384180791,0.028396410450532535,4.3267852492102566e-20
0.3728813559322034,0.027508954372398472,4.2495212269029306e-20
0.3785310734463277,0.02396330360987544,4.1729532768686434e-20
0.384180790960452,0.02307026812997552,4.0970813991073956e-20
0.3898305084745763,0.02307026812997552,4.0219055936191865e-20
0.3954802259887006,0.017163921295277176,3.947425860404016e-20
0.4011299435028249,0.014882633844498191,3.8736421994618854e-20
0.4067796610169492,0.013874978599554805,3.8005546107927927e-20
0.4124293785310734,0.013323917137476398,3.72816309439674e-20
0.4180790960451977,0.013323917137476398,3.6564676502737255e-20
0.423728813559322,0.013032871083718485,3.5854682784237503e-20
0.4293785310734463,0.012120142098955615,3.515164978846814e-20
0.4350282485875706,0.011569080636877211,3.4455577515429165e-20
0.4406779661016949,0.011569080636877211,3.3766465965120583e-20
0.4463276836158192,0.011472778633795547,3.308431513754239e-20
0.4519774011299435,0.011408577298407772,3.2409125032694584e-20
0.4576271186440678,0.01114428180106143,3.174089565057717e-20
0.4632768361581921,0.010694872453347005,3.107962699119015e-20
0.4689265536723164,0.01059857045026534,3.042531905453351e-20
0.4745762711864407,0.01059857045026534,2.977797184060727e-20
0.480225988700565,0.01059857045026534,2.913758534941141e-20
0.4858757062146893,0.010470167779489788,2.850415958094595e-20
0.4915254237288136,0.010020758431775363,2.787769453521087e-20
0.4971751412429379,0.010020758431775363,2.7258190212206187e-20
0.5028248587570622,0.009756462934429024,2.664564661193189e-20
0.5084745762711864,0.008461736004108893,2.604006373438798e-20
0.5141242937853108,0.007830422872795766,2.5441441579574466e-20
0.519774011299435,0.00776622153740799,2.484978014749134e-20
0.5254237288135594,0.007469825372367758,2.42650794381386e-20
0.5310734463276836,0.0069840352679335855,2.3687339451516252e-20
0.536723163841808,0.0066362780345831296,2.3116560187624295e-20
0.5423728813559322,0.005888332477315534,2.2552741646462728e-20
0.5480225988700564,0.0056475774696113715,2.199588382803155e-20
0.5536723163841808,0.0056475774696113715,2.144598673233076e-20
0.559322033898305,0.0052998202362609164,2.0903050359360362e-20
0.5649717514124294,0.005235618900873141,2.036707470912035e-20
0.5706214689265536,0.005235618900873141,1.9838059781610733e-20
0.576271186440678,0.004524054100325284,1.9316005576831503e-20
0.5819209039548022,0.004524054100325284,1.8800912094782663e-20
0.5875706214689266,0.004107815442561202,1.8292779335464212e-20
0.5932203389830508,0.004107815442561202,1.7791607298876152e-20
0.5988700564971752,0.004107815442561202,1.729739598501848e-20
0.6045197740112994,0.003907721280602633,1.68101453938912e-20
0.6101694915254238,0.003907721280602633,1.6329855525494307e-20
0.615819209039548,0.003745077897620267,1.5856526379827807e-20
0.6214689265536724,0.003745077897620267,1.5390157956891695e-20
0.6271186440677966,0.003680876562232491,1.493075025668597e-20
0.632768361581921,0.003680876562232491,1.4478303279210638e-20
0.6384180790960452,0.003242167437082688,1.4032817024465696e-20
0.6440677966101694,0.003242167437082688,1.3594291492451145e-20
0.6497175141242938,0.003242167437082688,1.316272668316698e-20
0.655367231638418,0.003242167437082688,1.2738122596613207e-20
0.6610169491525424,0.002947911316555382,1.2320479232789823e-20
0.6666666666666666,0.002947911316555382,1.1909796591696829e-20
0.672316384180791,0.0026857558637219643,1.1506074673334225e-20
0.6779661016949152,0.0026857558637219643,1.110931347770201e-20
0.6836158192090396,0.0026857558637219643,1.0719513004800186e-20
0.6892655367231638,0.0026857558637219643,1.033667325462875e-20
0.6949152542372882,0.0026857558637219643,9.960794227187704e-21
0.7005649717514124,0.0025894538606403,9.591875922477048e-21
0.7062146892655368,0.0025894538606403,9.229918340496783e-21
0.711864406779661,0.0023433487416538263,8.874921481246906e-21
0.7175141242937854,0.0023433487416538263,8.52688534472742e-21
0.7231638418079096,0.0023433487416538263,8.185809930938323e-21
0.7288135593220338,0.002188195514466701,7.851695239879616e-21
0.7344632768361582,0.002188195514466701,7.5245412715513e-21
0.7401129943502824,0.002188195514466701,7.20434802595337e-21
0.7457627118644068,0.002188195514466701,6.891115503085833e-21
0.751412429378531,0.0016799349426468073,6.5848437029486854e-21
0.7570621468926554,0.0015836329395651433,6.2855326255419264e-21
0.7627118644067796,0.0012198253723677453,5.993182270865558e-21
0.768361581920904,0.0011556240369799693,5.707792638919579e-21
0.7740112994350282,0.0011556240369799693,5.42936372970399e-21
0.7796610169491526,0.0011556240369799693,5.157895543218791e-21
0.7853107344632768,0.0011556240369799693,4.893388079463981e-21
0.7909604519774012,0.0009095189179934943,4.6358413384395606e-21
0.7966101694915254,0.0009095189179934943,4.3852553201455304e-21
0.8022598870056498,0.0009095189179934943,4.1416300245818896e-21
0.807909604519774,0.0008453175826057182,3.904965451748639e-21
0.8135593220338984,0.0008453175826057182,3.675261601645778e-21
0.8192090395480226,0.0008453175826057182,3.452518474273307e-21
0.8248587570621468,0.0006741140215716487,3.2367360696312245e-21
0.8305084745762712,0.0006741140215716487,3.027914387719533e-21
0.8361581920903954,0.0006741140215716487,2.8260534285382308e-21
0.8418079096045198,0.0006741140215716487,2.631153192087318e-21
0.847457627118644,0.0004173086800205444,2.4432136783667954e-21
0.8531073446327684,0.0004173086800205444,2.2622348873766625e-21
0.8587570621468926,0.00035310734463276836,2.088216819116919e-21
0.864406779661017,0.00035310734463276836,1.9211594735875657e-21
0.8700564971751412,0.00022470467385721622,1.7610628507886018e-21
0.8757062146892656,0.00022470467385721622,1.6079269507200278e-21
0.8813559322033898,0.00022470467385721622,1.4617517733818434e-21
0.8870056497175142,0.00022470467385721622,1.3225373187740488e-21
0.8926553672316384,0.00022470467385721622,1.190283586896644e-21
0.8983050847457628,0.00022470467385721622,1.0649905777496288e-21
0.903954802259887,0.00022470467385721622,9.466582913330033e-22
0.9096045197740112,0.00022470467385721622,8.352867276467677e-22
0.9152542372881356,0.00022470467385721622,7.308758866909217e-22
0.9209039548022598,0.00012840267077555214,6.334257684654655e-22
0.9265536723163842,0.00012840267077555214,5.42936372970399e-22
0.9322033898305084,0.00012840267077555214,4.594077002057222e-22
0.9378531073446328,0.00012840267077555214,3.828397501714352e-22
0.943502824858757,0.00012840267077555214,3.1323252286753787e-22
0.9491525423728814,6.420133538777607e-5,2.505860182940303e-22
